review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000001,ORD-20251226-556420,CUST-10032,REST-SHJ-001,Mediocre. Sweet Lassi were fine but forgettable. Sweet Lassi didn't stand out.,3,2025-12-31T19:32:59.614678
REV-000002,ORD-20251228-520810,CUST-10120,REST-DXB-002,Enjoyed the Masala Chai  Sweet Lassi  Chicken 65  and Chole Bhature! Chole Bhature was very good. Portion sizes were generous. Recommend!,4,2026-01-01T17:11:29.614678
REV-000003,ORD-20260104-936307,CUST-10352,REST-DXB-002,Absolutely amazing Fresh Lime Soda  Chicken 65  Aloo Tikki Chaat  and Masala Chai! The Masala Chai was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-10T14:25:07.614678
REV-000004,ORD-20260105-176831,CUST-10390,REST-DXB-001,Enjoyed the Sweet Lassi  Aloo Tikki Chaat  and Chicken Seekh Kebab! Aloo Tikki Chaat was very good. Portion sizes were generous. Recommend!,4,2026-01-12T11:49:35.614678
REV-000005,ORD-20260109-779900,CUST-10386,REST-AUH-001,Expected better. Vegetable Biryani were subpar. Vegetable Biryani was too oily and greasy. Stomach upset followed.,2,2026-01-15T15:42:16.614678
REV-000006,ORD-20260114-932917,CUST-10258,REST-DXB-002,Not good. Palak Paneer  Aloo Tikki Chaat  Tandoori Roti  Paneer Butter Masala  and Samosa (2 pcs) arrived late and cold. Palak Paneer had barely any flavor. Poor quality.,2,2026-01-17T19:07:30.614678
REV-000008,ORD-20260116-613668,CUST-10062,REST-AUH-001,Solid experience. Sweet Lassi  Rasmalai (2 pcs)  Dal Makhani  and Gulab Jamun (2 pcs) were well-prepared. Rasmalai (2 pcs) had great flavor. Minor issues with packaging.,4,2026-01-18T12:05:48.614678
REV-000010,ORD-20260118-201212,CUST-10161,REST-DXB-002,Wow! Just wow! Kulfi  Palak Paneer  Fresh Lime Soda  and Butter Naan were all fantastic. Palak Paneer was particularly memorable. Can't wait to order again!,5,2026-01-20T15:18:40.614678
REV-000007,ORD-20260114-912625,CUST-10186,REST-SHJ-001,Wow! Just wow! Chicken Seekh Kebab were all fantastic. Chicken Seekh Kebab was particularly memorable. Can't wait to order again!,5,2026-01-20T19:48:44.614678
REV-000009,ORD-20260117-184143,CUST-10454,REST-SHJ-001,Hands down the best Paneer Tikka I've ever had! Paneer Tikka were all prepared beautifully. Fresh and flavorful!,5,2026-01-20T20:35:13.614678
REV-000013,ORD-20260120-603080,CUST-10278,REST-AUH-002,Terrible experience! Lamb Rogan Josh  Jeera Rice  Butter Naan  Chicken Tikka Masala  and Chicken 65 were all inedible. Butter Naan was completely burnt. Waste of money!,1,2026-01-21T10:56:28.614678
REV-000011,ORD-20260119-738519,CUST-10417,REST-AUH-001,Best Indian food in UAE! Rasmalai (2 pcs)  Chicken Tikka Masala  Naan  and Lamb Rogan Josh were incredible. Rasmalai (2 pcs) had the perfect balance of spices. Five stars!,5,2026-01-23T19:28:19.614678
REV-000012,ORD-20260119-442685,CUST-10104,REST-SHJ-001,Best Indian food in UAE! Chole Bhature  Paneer Butter Masala  Kulfi  Chicken 65  and Fish Curry were incredible. Fish Curry had the perfect balance of spices. Five stars!,5,2026-01-23T20:43:53.614678
REV-000014,ORD-20260125-210440,CUST-10245,REST-DXB-001,Incredible meal! Jeera Rice  Naan  Paneer Butter Masala  and Gulab Jamun (2 pcs) arrived hot and fresh. The Gulab Jamun (2 pcs) was absolutely divine. Highly satisfied!,5,2026-01-31T15:55:05.614678
REV-000015,ORD-20260125-831970,CUST-10410,REST-AUH-002,Very satisfied! Chicken Seekh Kebab  Chicken Biryani  Paneer Tikka  Mango Lassi  and Garlic Naan were fresh and flavorful. Paneer Tikka was the standout dish.,4,2026-01-31T16:50:00.614678
REV-000016,ORD-20260130-175410,CUST-10119,REST-AUH-001,Poor experience. Chicken Tikka Masala  Butter Naan  Vegetable Biryani  and Paneer Tikka were disappointing. Chicken Tikka Masala was burnt on the edges. Very unhappy.,2,2026-02-02T18:03:32.614678
